Season,Age,Competition,Matches Played,Starts,Minutes played,Goals scored,Assists,PK,PKatt,CrdY,CrdR,Goal/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90
2004-2005,17,Champions League,1,1,90,0,0,0,0,0,0,0,0,0,0,0
2004-2005,17,La Liga,7,0,70,1,0,0,0,0,0,1.29,0,1.29,1.29,1.29
2005-2006,18,Champions League,6,4,322,1,1,0,0,0,0,0.28,0.28,0.56,0.28,0.56
2005-2006,18,La Liga,17,11,911,6,3,0,0,2,0,0.59,0.3,0.89,0.59,0.89
2006-2007,19,Champions League,5,4,385,1,0,0,0,1,0,0.23,0,0.23,0.23,0.23
2006-2007,19,La Liga,26,23,1983,14,3,0,0,2,0,0.64,0.14,0.77,0.64,0.77
2007-2008,20,Champions League,9,9,728,6,2,1,1,2,0,0.74,0.25,0.99,0.62,0.87
2007-2008,20,La Liga,27,23,1973,10,12,4,4,2,0,0.46,0.55,1,0.27,0.82
2008-2009,21,Champions League,12,10,927,9,5,0,0,1,0,0.87,0.49,1.36,0.87,1.36
2008-2009,21,La Liga,31,27,2516,23,11,3,4,2,0,0.82,0.39,1.22,0.72,1.11
2009-2010,22,Champions League,11,11,987,8,0,0,0,0,0,0.73,0,0.73,0.73,0.73
2009-2010,22,La Liga,35,30,2805,34,9,1,1,3,0,1.09,0.29,1.38,1.06,1.35
2010-2011,23,Champions League,13,11,1046,12,3,1,2,0,0,1.03,0.26,1.29,0.95,1.2
2010-2011,23,La Liga,33,31,2858,31,19,4,4,3,0,0.98,0.6,1.57,0.85,1.45
2011-2012,24,Champions League,11,11,990,14,5,4,5,2,0,1.27,0.45,1.73,0.91,1.36
2011-2012,24,La Liga,37,36,3270,50,16,10,11,6,0,1.38,0.44,1.82,1.1,1.54
2012-2013,25,Champions League,11,9,826,8,2,0,0,0,0,0.87,0.22,1.09,0.87,1.09
2012-2013,25,La Liga,32,28,2650,46,11,4,4,1,0,1.56,0.37,1.94,1.43,1.8
2013-2014,26,Champions League,7,7,630,8,0,2,2,0,0,1.14,0,1.14,0.86,0.86
2013-2014,26,La Liga,31,29,2501,28,11,7,8,2,0,1.01,0.4,1.4,0.76,1.15
2014-2015,27,Champions League,13,13,1147,10,6,0,1,1,0,0.78,0.47,1.26,0.78,1.26
2014-2015,27,Copa del Rey,6,6,540,5,3,1,2,1,0,0.83,0.5,1.33,0.67,1.17
2014-2015,27,La Liga,38,37,3375,43,18,5,6,4,0,1.15,0.48,1.63,1.01,1.49
2015-2016,28,Champions League,7,7,630,6,1,1,1,1,0,0.86,0.14,1,0.71,0.86
2015-2016,28,Copa del Rey,5,5,480,5,5,0,0,1,0,0.94,0.94,1.87,0.94,1.87
2015-2016,28,La Liga,33,31,2729,26,16,3,6,3,0,0.86,0.53,1.39,0.76,1.29
2015-2016,28,Super Cup,1,1,120,2,0,0,0,0,0,1.5,0,1.5,1.5,1.5
2015-2016,28,Supercopa de España,2,2,180,1,0,0,0,0,0,0.5,0,0.5,0.5,0.5
2016-2017,29,Champions League,9,9,810,11,2,2,2,0,0,1.22,0.22,1.44,1,1.22
2016-2017,29,Copa del Rey,7,7,630,5,3,1,1,3,0,0.71,0.43,1.14,0.57,1
2016-2017,29,La Liga,34,32,2828,37,9,6,7,6,0,1.18,0.29,1.46,0.99,1.27
2016-2017,29,Supercopa de España,2,2,180,1,2,0,0,0,0,0.5,1,1.5,0.5,1.5
2017-2018,30,Champions League,10,8,783,6,2,0,0,2,0,0.69,0.23,0.92,0.69,0.92
2017-2018,30,Copa del Rey,6,6,508,4,4,0,1,1,0,0.71,0.71,1.42,0.71,1.42
2017-2018,30,La Liga,36,32,3002,34,12,2,4,3,0,1.02,0.36,1.38,0.96,1.32
2017-2018,30,Supercopa de España,2,2,180,1,0,1,1,1,0,0.5,0,0.5,0,0
2018-2019,31,Champions League,10,9,838,12,3,1,1,0,0,1.29,0.32,1.61,1.18,1.5
2018-2019,31,Copa del Rey,5,4,388,3,2,0,0,0,0,0.7,0.46,1.16,0.7,1.16
2018-2019,31,La Liga,34,29,2713,36,13,4,5,3,0,1.19,0.43,1.63,1.06,1.49
2018-2019,31,Supercopa de España,1,1,90,0,1,0,0,0,0,0,1,1,0,1
2019-2020,32,Champions League,8,7,662,3,3,0,0,2,0,0.41,0.41,0.82,0.41,0.82
2019-2020,32,Copa del Rey,2,2,180,2,1,0,0,1,0,1,0.5,1.5,1,1.5
2019-2020,32,La Liga,33,32,2880,25,20,5,5,4,0,0.78,0.62,1.41,0.62,1.25
2019-2020,32,Supercopa de España,1,1,90,1,0,0,0,0,0,1,0,1,1,1
